#Time, x, y, z
0.0756,135,125,-14.0999735393
0.1134,135,125,-14.0999380131
0.1512,135,125,-14.0998855225
0.189,135,125,-14.0998165629
0.2268,135,125,-14.0997308377
0.2646,135,125,-14.0996288378
0.3024,135,125,-14.0995102825
0.3402,135,125,-14.0993755532
0.378,135,125,-14.0992244128
0.4158,135,125,-14.09905716
0.4536,135,125,-14.0988736157
0.4914,135,125,-14.0986740119
0.5292,135,125,-14.0984582137
0.567,135,125,-14.0982264087
0.6048,135,125,-14.0979785053
0.6426,135,125,-14.0977146514
0.6804,135,125,-14.0974347968
0.7182,135,125,-14.0971390613
0.756,135,125,-14.0968274292
0.7938,135,125,-14.0965000044
0.8316,135,125,-14.0961568114
0.8694,135,125,-14.0957979314
0.9072,135,125,-14.0954234042
0.945,135,125,-14.0950333023
0.9828,135,125,-14.0946276936
1.0206,135,125,-14.0942066445
1.0584,135,125,-14.0937702415
1.0962,135,125,-14.0933185483
1.134,135,125,-14.0928516641
1.1718,135,125,-14.0923696473
1.2096,135,125,-14.0918726074
1.2474,135,125,-14.0913606117
1.2852,135,125,-14.0908337906
1.323,135,125,-14.0902922211
1.3608,135,125,-14.089736046
1.3986,135,125,-14.0891653492
1.4364,135,125,-14.0885802798
1.4742,135,125,-14.087980926
1.512,135,125,-14.0873674458
1.5498,135,125,-14.0867399384
1.5876,135,125,-14.0860985688
1.6254,135,125,-14.0854434438
1.6632,135,125,-14.0847747317
1.701,135,125,-14.0840925436
1.7388,135,125,-14.0833970474
1.7766,135,125,-14.0826883578
1.8144,135,125,-14.0819666425
1.8522,135,125,-14.081232021
1.89,135,125,-14.0804846649
1.9278,135,125,-14.0797247044
1.9656,135,125,-14.0789522976
2.0034,135,125,-14.078167565
2.0412,135,125,-14.0773706935
2.079,135,125,-14.0765618192
2.1168,135,125,-14.0757410994
2.1546,135,125,-14.0749086829
2.1924,135,125,-14.0740647522
2.2302,135,125,-14.0732094504
2.268,135,125,-14.0723429393
2.3058,135,125,-14.071465356
2.3436,135,125,-14.0705768468
2.3814,135,125,-14.0696775766
2.4192,135,125,-14.0687677458
2.457,135,125,-14.0678474942
