#Time, Orientation
0.0756,1 -2.8372903823e-09 3.57805440949e-08 2.83728886937e-09 1 4.22836767977e-08 -3.57805442148e-08 -4.22836766962e-08 1
0.1134,1 -8.20052955389e-09 8.30770288058e-08 8.20052130177e-09 1 9.9330883808e-08 -8.30770296204e-08 -9.93308831267e-08 1
0.1512,1 -1.74624404576e-08 1.50732783094e-07 1.74624129519e-08 1 1.82479916057e-07 -1.5073278628e-07 -1.82479913425e-07 1
0.189,1 -3.06027698574e-08 2.36465769413e-07 3.06027015185e-08 1 2.89000959504e-07 -2.36465778258e-07 -2.89000952268e-07 1
0.2268,1 -4.64733255624e-08 3.40670197228e-07 4.64731833526e-08 1 4.17441118823e-07 -3.40670216628e-07 -4.17441102991e-07 1
0.2646,1 -6.36421090821e-08 4.63081437972e-07 6.36418474316e-08 1 5.65020505675e-07 -4.63081473931e-07 -5.65020476203e-07 1
0.3024,1 -8.2465681338e-08 6.03714220499e-07 8.24652400993e-08 1 7.30873417361e-07 -6.03714280771e-07 -7.30873367575e-07 1
0.3402,1 -1.02315196341e-07 7.61845680626e-07 1.02314501178e-07 1 9.12471853322e-07 -7.61845773985e-07 -9.12471775374e-07 0.999999999999
0.378,1 -1.21831552351e-07 9.37507902709e-07 1.21830513176e-07 0.999999999999 1.10844380909e-06 -9.37508037752e-07 -1.10844369487e-06 0.999999999999
0.4158,0.999999999999 -1.39590723251e-07 1.13005984578e-06 1.3958923585e-07 0.999999999999 1.31621422655e-06 -1.13006002951e-06 -1.31621406881e-06 0.999999999998
0.4536,0.999999999999 -1.54155988826e-07 1.33990397197e-06 1.54153934528e-07 0.999999999999 1.53316816421e-06 -1.33990420831e-06 -1.53316795766e-06 0.999999999998
0.4914,0.999999999999 -1.64706151462e-07 1.56524941482e-06 1.64703402098e-07 0.999999999998 1.75650213781e-06 -1.56524970412e-06 -1.75650188001e-06 0.999999999997
0.5292,0.999999999998 -1.70859118231e-07 1.80550888895e-06 1.70855533912e-07 0.999999999998 1.98521296253e-06 -1.80550922814e-06 -1.98521265405e-06 0.999999999996
0.567,0.999999999998 -1.72058998655e-07 2.06016389044e-06 1.72054431342e-07 0.999999999998 2.21696581671e-06 -2.06016427188e-06 -2.21696546224e-06 0.999999999995
0.6048,0.999999999997 -1.68581756823e-07 2.32846191135e-06 1.68576051962e-07 0.999999999997 2.45005528585e-06 -2.32846232438e-06 -2.45005489332e-06 0.999999999994
0.6426,0.999999999997 -1.60133707718e-07 2.60912125861e-06 1.60126704525e-07 0.999999999996 2.68411916634e-06 -2.60912168842e-06 -2.68411874854e-06 0.999999999993
0.6804,0.999999999996 -1.44775417851e-07 2.90241981014e-06 1.44766947649e-07 0.999999999996 2.9183239655e-06 -2.90242023263e-06 -2.91832354532e-06 0.999999999992
0.7182,0.999999999995 -1.20234065049e-07 3.20843627853e-06 1.20223960111e-07 0.999999999995 3.14948985941e-06 -3.20843665719e-06 -3.14948947367e-06 0.99999999999
0.756,0.999999999994 -8.44918464808e-08 3.52705888706e-06 8.44799429145e-08 0.999999999994 3.37492703266e-06 -3.52705917219e-06 -3.37492673467e-06 0.999999999988
0.7938,0.999999999993 -3.86621812007e-08 3.85797123277e-06 3.86483169413e-08 0.999999999994 3.59366585736e-06 -3.85797137168e-06 -3.59366570823e-06 0.999999999986
0.8316,0.999999999991 1.51175953604e-08 4.20047212943e-06 -1.51335786158e-08 0.999999999993 3.80510924059e-06 -4.20047207188e-06 -3.80510930412e-06 0.999999999984
0.8694,0.99999999999 7.81276716399e-08 4.55382978452e-06 -7.81459217439e-08 0.999999999992 4.00763855799e-06 -4.55382947137e-06 -4.00763891382e-06 0.999999999982
0.9072,0.999999999988 1.50839882333e-07 4.91616560352e-06 -1.5086052564e-07 0.999999999991 4.19906654813e-06 -4.91616497009e-06 -4.19906728973e-06 0.999999999979
0.945,0.999999999986 2.34125365584e-07 5.28597524146e-06 -2.34148504674e-07 0.99999999999 4.37744936334e-06 -5.28597421653e-06 -4.37745060098e-06 0.999999999976
0.9828,0.999999999984 3.28323320535e-07 5.66270725829e-06 -3.28349038987e-07 0.99999999999 4.54172330715e-06 -5.66270576708e-06 -4.54172516642e-06 0.999999999974
1.0206,0.999999999982 4.30431793412e-07 6.0445263807e-06 -4.30460144567e-07 0.999999999989 4.69038439762e-06 -6.04452436174e-06 -4.69038699946e-06 0.999999999971
1.0584,0.999999999979 5.37774323365e-07 6.43019897355e-06 -5.3780533543e-07 0.999999999988 4.82287729173e-06 -6.43019637986e-06 -4.82288074983e-06 0.999999999968
1.0962,0.999999999977 6.49708598459e-07 6.81934995481e-06 -6.49742276619e-07 0.999999999988 4.93861632694e-06 -6.81934674606e-06 -4.93862075765e-06 0.999999999965
1.134,0.999999999974 7.66437488534e-07 7.21056891544e-06 -7.66473804219e-07 0.999999999987 5.03645080176e-06 -7.21056505522e-06 -5.03645632834e-06 0.999999999961
1.1718,0.999999999971 8.86694812617e-07 7.60173178173e-06 -8.86733700212e-07 0.999999999987 5.11562128209e-06 -7.60172724564e-06 -5.11562802265e-06 0.999999999958
1.2096,0.999999999968 1.00894531538e-06 7.99158006259e-06 -1.00898667639e-06 0.999999999986 5.17557066366e-06 -7.99157484061e-06 -5.17557872689e-06 0.999999999955
1.2474,0.999999999964 1.13038498768e-06 8.37989172284e-06 -1.13042869986e-06 0.999999999986 5.2163148516e-06 -8.37988582627e-06 -5.21632432428e-06 0.999999999951
1.2852,0.999999999961 1.24940899052e-06 8.76579400428e-06 -1.249454903e-06 0.999999999986 5.23768287418e-06 -8.76578746014e-06 -5.23769382643e-06 0.999999999948
1.323,0.999999999957 1.36592065765e-06 9.14838491874e-06 -1.36596859364e-06 0.999999999985 5.2398268872e-06 -9.14837776141e-06 -5.23983938338e-06 0.999999999944
1.3608,0.999999999954 1.47887722604e-06 9.52802945437e-06 -1.47892699782e-06 0.999999999985 5.22371724678e-06 -9.52802172899e-06 -5.2237313378e-06 0.999999999941
1.3986,0.99999999995 1.58754070283e-06 9.90548087486e-06 -1.58759212127e-06 0.999999999985 5.19090241141e-06 -9.90547263394e-06 -5.19091813701e-06 0.999999999937
1.4364,0.999999999946 1.69202489352e-06 1.02813088042e-05 -1.69207776626e-06 0.999999999985 5.14260184561e-06 -1.02813001026e-05 -5.1426192421e-06 0.999999999934
1.4742,0.999999999942 1.79234797046e-06 1.06563652171e-05 -1.79240210436e-06 0.999999999985 5.0799520517e-06 -1.06563561119e-05 -5.07997115189e-06 0.99999999993
1.512,0.999999999937 1.88722991998e-06 1.10315282425e-05 -1.8872851259e-06 0.999999999986 5.0043688339e-06 -1.10315187979e-05 -5.00438965323e-06 0.999999999927
1.5498,0.999999999933 1.97613659007e-06 1.14074893349e-05 -1.97619268607e-06 0.999999999986 4.91746212558e-06 -1.14074796172e-05 -4.91748466865e-06 0.999999999923
1.5876,0.999999999928 2.06060244055e-06 1.17847444996e-05 -2.06065925257e-06 0.999999999986 4.82080098436e-06 -1.17847345657e-05 -4.82082526836e-06 0.999999999919
1.6254,0.999999999924 2.14238109549e-06 1.21641041325e-05 -2.14243846382e-06 0.999999999987 4.71618741177e-06 -1.21640940285e-05 -4.71621347226e-06 0.999999999915
1.6632,0.999999999919 2.22230064676e-06 1.25465379502e-05 -2.22235843078e-06 0.999999999987 4.60556285573e-06 -1.25465277151e-05 -4.60559073826e-06 0.999999999911
1.701,0.999999999914 2.30055530953e-06 1.2932709869e-05 -2.30061338553e-06 0.999999999987 4.49061511222e-06 -1.29326995379e-05 -4.490644865e-06 0.999999999906
1.7388,0.999999999908 2.37593950564e-06 1.33233762507e-05 -2.37599776802e-06 0.999999999988 4.37293035752e-06 -1.33233658607e-05 -4.37296201343e-06 0.999999999902
1.7766,0.999999999903 2.44680448329e-06 1.37201467709e-05 -2.44686285703e-06 0.999999999988 4.25458461769e-06 -1.37201363606e-05 -4.25461818859e-06 0.999999999897
1.8144,0.999999999897 2.51092229576e-06 1.41243304267e-05 -2.51098073598e-06 0.999999999988 4.13754085325e-06 -1.41243200374e-05 -4.13757631875e-06 0.999999999892
1.8522,0.999999999891 2.56557304912e-06 1.45371516141e-05 -2.56563155194e-06 0.999999999989 4.02434835341e-06 -1.45371412891e-05 -4.02438564995e-06 0.999999999886
1.89,0.999999999885 2.61019034868e-06 1.49586095816e-05 -2.61024895121e-06 0.999999999989 3.91762695126e-06 -1.49585993557e-05 -3.9176659965e-06 0.99999999988
1.9278,0.999999999878 2.64423370649e-06 1.53882237761e-05 -2.64429248357e-06 0.999999999989 3.81959492221e-06 -1.5388213676e-05 -3.81963561271e-06 0.999999999874
1.9656,0.999999999871 2.66640203202e-06 1.5826098707e-05 -2.66646109882e-06 0.999999999989 3.73222030577e-06 -1.58260887552e-05 -3.73226250497e-06 0.999999999868
2.0034,0.999999999864 2.67626713541e-06 1.62726650123e-05 -2.67632665785e-06 0.99999999999 3.6577971836e-06 -1.62726552229e-05 -3.65784073407e-06 0.999999999861
2.0412,0.999999999856 2.67297294782e-06 1.67291036441e-05 -2.67303315339e-06 0.99999999999 3.59883025834e-06 -1.67290940243e-05 -3.59887497527e-06 0.999999999854
2.079,0.999999999849 2.6555553271e-06 1.71969121715e-05 -2.6556165155e-06 0.99999999999 3.55808182765e-06 -1.71969027226e-05 -3.55812749551e-06 0.999999999846
2.1168,0.99999999984 2.62442364749e-06 1.76773983537e-05 -2.62448619748e-06 0.99999999999 3.53839371484e-06 -1.76773890672e-05 -3.53844010837e-06 0.999999999837
2.1546,0.999999999832 2.58043505041e-06 1.81720439258e-05 -2.58049943211e-06 0.99999999999 3.54287511858e-06 -1.81720347835e-05 -3.54292201093e-06 0.999999999829
2.1924,0.999999999822 2.52380297594e-06 1.86817341734e-05 -2.52386975989e-06 0.99999999999 3.5748032008e-06 -1.86817251512e-05 -3.57485035043e-06 0.999999999819
2.2302,0.999999999813 2.45880078653e-06 1.92069665781e-05 -2.4588706819e-06 0.99999999999 3.63904055319e-06 -1.92069576302e-05 -3.63908777996e-06 0.999999999809
2.268,0.999999999802 2.39060507646e-06 1.97481098107e-05 -2.39067894052e-06 0.99999999999 3.74028754863e-06 -1.9748100869e-05 -3.74033475928e-06 0.999999999798
2.3058,0.999999999791 2.31717261294e-06 2.03056250316e-05 -2.31725141346e-06 0.99999999999 3.88070095287e-06 -2.03056160391e-05 -3.8807480053e-06 0.999999999786
2.3436,0.99999999978 2.23418479976e-06 2.08796235128e-05 -2.23426958881e-06 0.999999999989 4.06082922356e-06 -2.087961444e-05 -4.06087587337e-06 0.999999999774
2.3814,0.999999999767 2.14027656307e-06 2.14716224192e-05 -2.1403685522e-06 0.999999999989 4.28419638307e-06 -2.14716132496e-05 -4.28424233926e-06 0.99999999976
2.4192,0.999999999754 2.03529046147e-06 2.20835766877e-05 -2.03539105253e-06 0.999999999988 4.55499517088e-06 -2.20835674167e-05 -4.55504011847e-06 0.999999999746
2.457,0.99999999974 1.91898917193e-06 2.27157006865e-05 -1.91909991077e-06 0.999999999986 4.87497052158e-06 -2.27156913312e-05 -4.87501411402e-06 0.99999999973
2.4948,0.999999999725 1.79142744311e-06 2.336790326e-05 -1.79155003376e-06 0.999999999985 5.24609270025e-06 -2.33678938616e-05 -5.24613456358e-06 0.999999999713
2.5326,0.99999999971 1.65285745865e-06 2.40406382977e-05 -1.6529937928e-06 0.999999999983 5.67096846288e-06 -2.4040628924e-05 -5.67100820026e-06 0.999999999695
2.5704,0.999999999693 1.50342374819e-06 2.47347053466e-05 -1.50357592607e-06 0.99999999998 6.15238569483e-06 -2.47346960964e-05 -6.15242288345e-06 0.999999999675
2.6082,0.999999999675 1.34342567481e-06 2.54516979822e-05 -1.34359598548e-06 0.999999999977 6.69150902198e-06 -2.5451688992e-05 -6.69154321661e-06 0.999999999654
2.646,0.999999999656 1.17333818371e-06 2.61932906829e-05 -1.1735291169e-06 0.999999999973 7.28937874307e-06 -2.61932821293e-05 -7.28940947916e-06 0.99999999963
2.6838,0.999999999636 9.93819304793e-07 2.69604215469e-05 -9.94033593318e-07 0.999999999968 7.94825088573e-06 -2.69604136469e-05 -7.9482776824e-06 0.999999999605
2.7216,0.999999999615 8.06013077002e-07 2.7754128444e-05 -8.06253706411e-07 0.999999999962 8.67003009665e-06 -2.77541214548e-05 -8.67005247018e-06 0.999999999577
2.7594,0.999999999592 6.11190535764e-07 2.85761491889e-05 -6.11460744957e-07 0.999999999955 9.45575168929e-06 -2.85761434084e-05 -9.45576915862e-06 0.999999999547
2.7972,0.999999999567 4.10206888332e-07 2.9428112723e-05 -4.10510181866e-07 0.999999999947 1.03062463019e-05 -2.94281084938e-05 -1.0306258378e-05 0.999999999514
2.835,0.999999999541 2.0344625127e-07 3.03108449028e-05 -2.03786423523e-07 0.999999999937 1.12227875077e-05 -3.03108426177e-05 -1.12227936795e-05 0.999999999478
2.8728,0.999999999512 -8.68260532543e-09 3.12250068881e-05 8.30147277495e-09 0.999999999926 1.22060038369e-05 -3.12250069918e-05 -1.22060035718e-05 0.999999999438
2.9106,0.999999999482 -2.25892773117e-07 3.21711374862e-05 2.25466304283e-07 0.999999999912 1.32562589875e-05 -3.21711404778e-05 -1.32562517272e-05 0.999999999395
2.9484,0.99999999945 -4.4797866804e-07 3.31495056389e-05 4.47502166885e-07 0.999999999897 1.43743125167e-05 -3.31495120748e-05 -1.43742976743e-05 0.999999999347
2.9862,0.999999999416 -6.74583518622e-07 3.4160910943e-05 6.74051958542e-07 0.999999999879 1.55604864605e-05 -3.41609214357e-05 -1.55604634252e-05 0.999999999295
3.024,0.99999999938 -9.05467128272e-07 3.52069914302e-05 9.04875183669e-07 0.999999999858 1.68132808898e-05 -3.5207006649e-05 -1.68132490214e-05 0.999999999239
3.0618,0.999999999341 -1.14038180619e-06 3.62878494019e-05 1.13972379956e-06 0.999999999835 1.81329893712e-05 -3.62878700745e-05 -1.81329480011e-05 0.999999999177
3.0996,0.9999999993 -1.37907820007e-06 3.74023892863e-05 1.37834804708e-06 0.999999999809 1.95215788637e-05 -3.74024162009e-05 -1.95215272966e-05 0.99999999911
3.1374,0.999999999256 -1.62108549755e-06 3.85507671826e-05 1.62027676336e-06 0.999999999779 2.09784420586e-05 -3.85508011819e-05 -2.09783795801e-05 0.999999999037
3.1752,0.999999999209 -1.86538814557e-06 3.97333375856e-05 1.86449404436e-06 0.999999999745 2.25025699875e-05 -3.97333795515e-05 -2.25024958871e-05 0.999999998957
3.213,0.999999999159 -2.11064327464e-06 4.09498076394e-05 2.10965664364e-06 0.999999999708 2.40936945194e-05 -4.09498584806e-05 -2.40936081091e-05 0.999999998871
3.2508,0.999999999107 -2.35499839492e-06 4.22001081964e-05 2.35391171685e-06 0.999999999666 2.57506304031e-05 -4.2200168825e-05 -2.57505310448e-05 0.999999998778
3.2886,0.999999999051 -2.59601485175e-06 4.34841862535e-05 2.59482023999e-06 0.999999999619 2.74723605196e-05 -4.34842575556e-05 -2.74722476598e-05 0.999999998677
3.3264,0.999999998992 -2.83087934044e-06 4.48016458971e-05 2.82956851372e-06 0.999999999568 2.9258486383e-05 -4.4801728705e-05 -2.92583595842e-05 0.999999998568
3.3642,0.99999999893 -3.05667969279e-06 4.61524286735e-05 3.05524398321e-06 0.999999999511 3.11080346606e-05 -4.61525237382e-05 -3.11078936203e-05 0.999999998451
3.402,0.999999998865 -3.27044075968e-06 4.75362631855e-05 3.26887112297e-06 0.99999999945 3.30198149888e-05 -4.75363711487e-05 -3.30196595614e-05 0.999999998325
